BOOKING DATE|CB CODE|FUND CODE|OUTSTANDING NUMBER OF UNITS
20221121|BSM01|AAM01MMSSHIMMF00|12398333.6640
20221121|BSM01|ANA02MMSAPUSPY00|10092729.1229
20221121|BSM01|GAMA2MMSRSSSLB00|10426182.6270
20221121|BSM01|SYA02MMSSSMMF202|996954.5961
20221121|BSM01|TP002MMSADKSAS00|4014570.7355
20221121|BSM01|TP002MMSAKSYIN00|99554989.1983
20221121|BSM01|TP002MMSAVALSY00|198502513.0863
20221121|BSM01|TP002PFSSAPTSB04|41460886.2556
20221121|BSM01|TP002PFSSAPTSB05|26591088.6163
20221121|BSM01|ZG002FISPPRIFS00|3458566.8549
20221121|BSM01|ZG002MMSCPCFSY02|12612110.1713
